"estdepartureairport","estarrivalairport","flights"
KFMH,KRDU,1
KMDW,KEWR,20
SBGR,EDDF,13
EDDL,LFML,2
EPWA,ENKJ,1
KLUK,KHAO,1
KSEA,KMDW,17
LFMI,LFQB,1
IN32,KEYE,2
KLNS,KN71,3
KMDT,KMDT,1
ENVA,ENVA,1
FL84,GA25,1
KBJC,"37TE",1
PA84,KLOM,1
KSDL,KAEG,1
FL00,"8FL1",1
OMRK,EPKT,1
PAEN,PABG,7
ENKJ,ENEG,1
"51GA",KDCA,2
CYYB,KBUF,1
KSMF,KNKX,1
LEMD,ENBR,1
EGKK,KTPA,3
LKPR,EDCT,1
LIPE,EYRU,1
"5II1",KOKK,1
KPSP,KRIU,1
KO52,KMYV,1
PA61,"27PN",1
EKCH,LDRI,1
KGSP,KDFW,2
"9WI8",KJVL,4
KIAH,"1XS2",1
KRDU,KRVL,1
KMCW,"5MN0",1
CYBW,CJC4,1
KDTO,"1OK9",2
KFCM,"0TN0",1
KIWA,IN87,1
KRST,KSNA,1
KRDU,VA65,1
"89LL","3IL2",2
EGNH,EGMC,1
KHXF,KC47,2
KUES,KRDU,1
EDDV,EDHG,1
KBJC,"6CO1",2
LSGG,KSJC,1
K82C,KDLL,1
EYKA,LLBG,1
EKBI,EKEB,2
IA65,KOXV,1
KBOI,TS53,1
KPIT,KPIT,1
OTHH,KIAH,1
KAPA,CO58,2
KNSE,"48FL",1
FL76,KISM,1
KHPN,CNJ4,1
"1AZ2","36AZ",1
K7N1,KONZ,1
CNF4,CYZD,2
KABE,KN71,1
KEWR,KSMF,3
"0CA5",KSEE,1
EGTF,EGBJ,1
KADS,KLXV,1
KISP,KJFK,1
KSRQ,"7FL6",1
KL94,KSDL,1
KEUL,ID26,1
FA71,KSRQ,1
LFMI,LFRJ,2
EDST,EDPB,1
"09FL",KCVG,2
LSZM,LFFI,1
KLCK,"26FD",1
KALB,KMSP,2
EDDF,LIRP,3
EDDH,EDLE,1
K54J,KBFM,1
KM33,KROC,1
LIRQ,LIRF,1
LGMK,LZIB,1
KN35,PN59,1
CYKZ,CRA2,1
EDLW,LFRI,1
"8KY6",KBOS,1
"20VA",KHEF,1
WSAC,RJTK,1
"3AL8","3AL8",1
"02XS",TX31,1
KENW,"3WI1",1
KMKE,KMKE,2
"8KY6",CYYZ,1
KPNE,JY43,2
KALN,KLAS,1
LIRF,LE85,3
KSAF,KJCT,1
KLBE,"32PN",1
KDTW,"7MI7",6
"8FD2",GA92,2
NC00,"66FD",1
KTEB,"93OH",1
KHVN,PA49,1
KSJC,K9X1,1
EHWO,EHAM,1
"80OH",KALN,1
TA57,AL18,1
KBMG,KAEG,1
KDAL,KFYV,4
EDDL,LFPB,2
KBLI,WN51,2
"0AL1",KEDN,1
EGKK,DAAG,3
NC99,NC72,1
KLAF,KPEA,1
KALB,CT08,1
FL17,"0FD3",1
EGLC,LEBL,1
KSFO,KSEE,1
ENBR,LFPV,1
PANC,ESSA,1
KSTP,CYWG,1
"25NK",KIAG,1
KMCI,CO14,2
EGTH,EGXT,1
KSNA,CA84,1
KEVY,KMDW,1
"4OH4",KHEF,1
EGAA,LIPM,1
KLOU,KLAF,1
UUMU,UWKD,1
KSFB,KTEB,2
KJYO,CT20,1
EBIS,EBZH,1
LZPT,LKKU,1
KCNO,KSBA,2
JY39,KCDW,1
KMKC,"9MO3",1
KRFD,KJOT,1
KIAD,VG07,1
KDAL,CD14,2
KCXY,"5PA3",2
LFDH,LFIG,1
"3TX9",KFWS,1
KBUU,KUGN,1
LEMH,EGKK,2
CEF4,CYBW,1
EGCF,EGCC,2
ULLI,UWWE,2
KOSH,K61C,1
KPRC,CO12,1
EPRG,EPKT,1
KRDU,II95,1
KDCA,K2W6,1
"02II",KVTA,1
"40FL",FL57,1
EGCC,EGJB,1
EGLL,LGKF,1
EFOU,EFHP,1
OH35,"1OA4",1
LFLL,GCLP,1
KPDX,CL36,3
LL51,KTYS,1
"86TA",KRYW,1
"33FD",KGNV,1
LKVO,LIMC,1
LDZA,LKKL,1
WT24,KU42,1
KLGB,KSEE,3
EDTS,EDSZ,1
EDGT,EDTH,1
EDTH,EDTH,4
KMWC,KC29,1
"4GA9",K47A,1
LBWN,LTAD,1
EYKA,LEPA,1
K3CK,K0C0,1
"0TS4","86TA",1
KFOK,KN81,1
LIME,LIMA,1
KLAS,NC05,1
KX50,KEVB,2
CT08,K4N1,1
KUAO,"28OR",1
"05TE",TA27,1
PAED,RKSG,1
KLNS,MI47,1
EKVD,EKHM,1
"86TX","2TE6",1
UWLW,UUBW,1
EDDK,LFDT,1
EDDS,LIRP,1
K52A,GA91,1
KM54,TN96,1
FD33,FD16,1
LFOB,LIED,2
"3TN4","9TN9",1
KCOS,KRDU,1
KMQY,KBNA,2
KMSN,KBTL,1
TN73,AL15,1
KLQK,II49,1
EDDR,LGRP,1
KACK,MA89,1
NJ74,KOQN,1
LFRG,LFPB,1
"0LL6",II32,1
TN98,"3TN4",1
LEMH,EDDL,1
RI20,KLGA,1
"6NC9",NR40,1
"07CL",KCIC,1
TX82,"05TX",1
UUEE,LSZM,1
ESSB,ESSZ,1
KAPA,K12Y,1
LSPN,LSGC,1
LIRF,"71MI",1
II34,"8II1",1
KJAX,KDTS,1
SBKP,SSGI,1
CYUL,CD17,1
"4GA9",KGMU,1
KCDW,NH88,1
EPKT,LTFE,2
KALB,CT52,1
K1O2,KSAC,1
RPLB,RJTJ,1
K2O6,"67CA",1
WA68,KAWO,1
KMKC,KEWR,1
K54F,KHYI,1
"54GA",CYHM,1
"0GA4",K49A,1
"52CN",KRDD,1
KBNA,"53VA",1
KGHG,"24OI",1
KAPA,KIWS,2
"7NY8","1PA6",1
ESSD,ESVA,1
KARW,KMJX,1
NH60,KLDJ,1
KTPA,"9MI2",1
WA17,KRNT,1
"5WA2",KRNT,1
"34FD",KOPF,1
KBFI,"1WA6",3
UAAR,RKSI,1
"71MI",KPHL,1
CYBW,CYKA,1
CA35,KBDN,1
"6IN8",KBMG,1
KCIC,"81CA",2
LL59,LFFW,1
ETHN,EDBM,1
"71IS",K3CK,1
LGAV,LIPM,1
LEZG,SEHI,1
EDLG,EDRA,1
LFAC,EGNJ,1
EDFV,EDTN,1
LGIR,LIDF,1
LOWW,EDKB,1
EGGW,LIME,1
"2MN8",KY55,1
SC44,KCAE,1
"2CA4",KSEE,1
KILG,KACK,1
YSMB,YSBK,1
EGBT,EGCV,1
KCRQ,KTKI,1
LZPP,LSZH,1
"5VA5",K2W5,1
OH43,OH36,1
EDDG,EDWO,1
"6MN9",MI77,1
KTTA,"22NC",1
CT32,K4B8,1
KTEB,K0G7,1
"24MN","93MN",1
KHFJ,K2MO,1
AK17,PAWD,1
LFMV,LFJT,1
EKCH,LIRP,1
EDLW,LSGL,1
VA17,KOKV,1
"5NC5",KHRJ,1
LFNR,EGCC,1
LPFR,UKBB,1
"6MI6",KC20,1
LKKA,LKBE,1
EDKB,EDFL,2
EICK,EICK,1
KBFI,KPVU,1
XS40,KAFW,1
"0MO1",KMKC,1
ESMS,EVRA,1
K52F,KONY,1
CT39,VG29,1
LFBE,LPST,1
K9A1,"07GA",1
KSLC,KSFF,2
KHVN,CYUL,1
"27WI",KBNA,1
"9TX4","4XS8",1
EGLF,EGWU,1
KIJX,KENW,1
"3PA0",KTSO,1
LRBS,LKVO,1
KOAK,KNFW,1
CYYZ,KPDK,1
CA53,CA04,1
KCNW,KVBT,1
FD96,"40FL",1
KPDK,KLUK,2
KPWK,KSTE,1
KOAR,KSCK,1
CYYZ,KBJC,1
FD96,"0FL0",1
ESSA,EYVI,1
"2AZ7",KRIR,1
KSDL,KVNC,1
CYND,CYYC,1
"5NC3","78NC",1
KJST,CYCC,1
KIAD,KSIF,1
NZAS,NZPH,1
"6MI6",KDPA,1
EDDM,LHCL,1
PANC,PAAQ,1
EDSO,EDPB,1
EDFR,EDFC,1
KOAK,KCLE,1
K2W6,VA57,1
KAFW,"59TX",1
EDLN,EHGG,1
KARB,MI45,1
KLCK,OH43,1
KMDW,NK19,1
KUES,NY17,1
EDDN,EDDK,1
KCLT,MI45,1
KJFK,"5TX6",1
"9WA7",WA77,1
"2CA4",KPHX,1
KAPH,"51VA",1
LKTB,LKVY,1
KEIK,"92CO",1
KC29,KMRJ,7
KRYY,KECP,1
EPWA,EYRU,1
EDTX,EDWF,1
TN73,KSDF,1
EGFF,LGKO,2
"30AZ",KCHD,1
EDSZ,EDTS,2
EBBZ,EBUL,1
EDDS,LDRI,1
"1CO8",CO98,2
LFQE,LFAW,1
K52F,KLNC,1
EGOW,EGNO,1
KLHQ,OH99,2
KSAV,KFLL,1
EBTX,LFPA,1
ENGM,KEWR,3
EDTD,EDSL,1
KCNO,KF70,5
KSGR,KPIE,1
KCMH,KCYO,1
KEDC,KFTW,1
"30TA",K5C1,1
EGJJ,EDDM,1
LFLY,LFRJ,1
EGKK,"6FD6",2
KMIA,"07KY",1
WA56,WN21,1
LIPE,LEMH,1
LL10,KC20,1
AK68,PANC,1
KJWY,"2TS6",1
K47N,"5NJ2",1
KBLM,KTTN,2
KSDL,KHIO,1
LFQA,LFPB,2
KAPA,KGPH,1
"30NY",KROC,1
KBVS,KPAE,2
EYVP,LEBL,3
TA19,KMWL,1
"72IN",KLAF,1
"1XS1",KNUN,2
KONZ,KJFK,1
KF98,"58TE",1
KDAL,KIWA,1
"28II",KBLV,1
KCOS,KCGS,2
MA44,RI11,1
"88WI",KOSH,1
KMQS,JY39,1
KMGE,KTEB,2
GA20,"21FA",1
KMDW,"58AR",1
KMCO,KTPA,2
"2TX1","9TX5",1
KGYY,KPHL,1
LFPB,EDDM,2
EGBJ,EGCC,1
CZBM,KHPN,1
KUES,PN37,1
KDTS,KABQ,1
LIMC,EGNR,1
KJVL,"25NK",1
CYQB,CYPN,1
CYZD,KBOS,1
KLDJ,KAUS,1
KPSP,KFTG,2
EPPO,LFST,1
KCMR,KP23,1
KBWI,"83FL",1
KSMO,KAJO,2
"3PA8",KW35,1
KRDU,KMGE,1
CYTZ,CYSH,1
KDCU,"3AL8",1
KTPA,"51GA",1
CYOO,CPJ5,1
KMDW,MD43,5
"88PA",KPDK,1
"7MI3",AL72,1
OK97,"46TS",1
FL59,OA16,1
K6I6,K6I6,1
MMTJ,KSAN,1
"23FL","23FL",1
"37CA",KAJO,1
KDFW,"1TX6",1
KIAD,IA56,1
KAVP,KPHL,2
MA30,KLZD,1
KJYO,"5PA3",1
KOWD,KPVC,1
CYXE,KSGS,1
KCMA,KHHR,6
LIMC,KHHR,1
"3VA2","89VA",1
KTOB,"7MY9",1
KTKI,"9TX2",1
EGNX,GCGM,1
KAJO,KL26,3
FADX,FACT,2
KSYR,KAKH,2
LEBL,LFQL,1
NY94,KSLK,1
KDTW,KOMA,2
KTEB,"4GA6",1
LKFR,LKSP,1
"1CO8",KTAD,1
ENBO,ENHD,1
"92KY","92KY",1
"11II",KGEZ,1
LFOB,LFPA,1
KVNY,KPOC,2
KSFO,KMHR,2
EGSC,EHTX,1
"75MN",MN49,1
KHIO,"6OR7",1
EDFE,EDFC,2
KENW,IS15,1
KDAL,"24XA",1
KSKF,"5TA6",1
EGLJ,EGSU,1
KRDM,"3OR8",1
KDTO,"04TX",1
FL59,"07KY",1
KRBD,TX61,1
KTTN,PN53,1
LFPG,LIMJ,2
ESSA,LTFE,2
EVRA,LGKO,1
UKBB,KLAX,1
LMML,LFRS,1
KOAK,"4CA2",1
KSJT,KE30,1
LIBR,LIAR,1
KOSH,"7WI8",1
KBED,KMGW,1
KHQZ,"85TX",1
"85TX",KHQZ,1
LMML,LKVO,2
LGRP,EYRU,1
XS39,TS50,1
KOAK,KVGT,1
EGNT,LGRP,5
"38CL",KBWI,1
K5I4,KMDW,1
KTCY,KHND,1
KERI,"58OH",1
KCMI,OH21,1
K2R4,KDTS,1
"55IL",KLOT,1
KF70,"8CL1",1
EDDC,EDAV,2
KSYR,"7NK1",1
IN08,IN08,1
EYVP,EIDW,1
KJVY,"4II2",1
LEAL,EDDB,3
EDDB,LIDU,1
KBOS,PN16,1
KZPH,KTPF,3
KDCA,CT96,1
KHEF,"87NC",1
VA87,"90VA",1
NY19,"6NK8",1
IN71,"7II7",1
KDTW,OA05,1
CD28,KPUB,1
KCLE,"47FD",1
KSTL,"7IS2",1
KSAT,SN10,1
KO05,KSNA,1
LJSK,LJNM,1
KDPA,IL02,1
LIEO,ULLP,1
"56WI","56WI",1
LOLW,LIPV,1
KISW,KUMP,1
EGCJ,EGBS,1
SBMT,LEBL,1
"48AZ","2AZ7",1
KAUS,GA79,2
KMO6,"8KS3",1
KHOU,"3AR2",1
EPDE,EPLR,2
TA57,"1TS2",1
KONT,"69CL",1
KX04,"4FL6",1
FL84,"60MI",1
"37NE",KMLE,1
KCLT,"1II8",1
EKBI,LGKO,2
LRBS,EDDM,2
KT82,XS12,1
KWDR,GA59,1
KVCB,KMYV,1
KMPO,KDOV,1
KK02,"3IL1",1
KSPB,"74OR",1
KTUL,KSEA,1
"69XS",KTKI,1
EIDW,LIPM,1
LEBL,LKLT,1
KMQY,KM54,1
KOPF,KPDK,1
KMCO,TS53,1
KTOA,"3CA9",1
EDAM,EDOQ,1
EHGG,EDWR,1
LL53,KPWK,1
LOXN,LOAN,1
KHQZ,"51TX",2
EDDN,LFPB,1
LSZB,LSTA,1
KSDL,KBED,1
LIMJ,EDDT,2
KMQY,"30GA",1
KGRR,CYYZ,1
EPBC,EPZR,1
KEDC,KRVS,1
KMQJ,KMFI,1
TS67,"77TS",1
EDDK,GMTT,1
"66MI",KMMU,1
KTZR,KTZR,1
KMRY,KDFW,1
KSJC,CA39,1
"2OH2",KLUK,1
LIDW,LIDT,1
"1MN5",KLVN,1
ESKN,LIPS,2
KTKI,XS88,1
KMCO,KFTW,1
EBMB,RKSI,1
KDVO,KMYF,1
EGHP,EGBP,1
"35WI","9WI8",1
"1PA6",CYYZ,2
EGHH,LEMD,1
RJTT,RJOB,2
KSUS,"51VA",1
RI20,KMVY,1
IA21,KDPA,1
K5I4,IN60,1
KEUL,KCOS,1
KBDN,KEDC,1
EKBI,EKRA,1
LFRH,EGLF,1
"23PA",KSMQ,1
KTEB,LLBG,1
KCLT,II74,1
LMML,EGFF,1
EFPU,EFOU,1
KSTC,KFCM,1
SC97,KSAV,1
KLEB,KSNS,1
OR28,KUAO,1
KMMU,"8PA4",1
II51,KLOT,1
"01FL",KHEG,1
KOQU,KBWI,2
EGBW,EGSC,1
KORD,KGOK,1
KWHP,KCNO,1
LGRP,LIPE,1
KFFZ,KU77,1
EDLW,EDLB,1
KDAB,KTPF,1
K5I4,"02II",1
KEWR,KCAE,1
KLAF,IN34,1
KTEB,"7PA5",1
EGNX,EDAW,1
AL01,FD26,1
KLDJ,KSCH,1
KROA,"51GA",2
EDRW,EDTH,1
LIME,LIPZ,1
KMAN,ID26,1
EBOS,EDDS,1
LL53,K3CK,1
LSGT,EGJJ,1
KIND,KROG,1
EGKB,EVRA,1
KROA,AL18,1
KIAD,PS49,1
KUES,KC62,1
EGLF,LSZA,1
EDDK,ETHA,1
KDAL,KTTN,1
CYKA,KBFI,1
KBNA,KABQ,1
KSLI,KRAL,1
KMHR,KBOI,1
FL15,"75FL",1
LOLW,LOAD,1
KAUS,"4XA3",1
"16MI",MI29,1
KPOB,NC13,1
OG30,OR40,1
KSRQ,KHWO,1
"0GA1",KAJR,1
PN06,PN85,1
"62IN","72IN",1
LKPD,LZIB,1
KTEB,MI56,1
KYIP,"0WI5",1
"29OR",KRNT,1
KONT,K9X1,1
GA35,GE23,1
LEMP,EPWA,1
KVBT,"9XS1",1
"31FL",FL57,1
EDFL,EDFE,1
LROP,LSZM,1
CT52,KPVD,1
EDXK,EDXW,2
EDXW,EDXJ,1
TA61,KADS,1
VG25,KROA,2
"24PA",KEWR,5
KLOU,"1IN5",1
KBKL,KRDU,1
KDCA,KGYY,1
KHWD,KPHX,2
"21FA","21FA",4
KONY,KADS,4
KSDF,KNRQ,2
LETO,VIDX,1
KYNG,KMSN,1
KDFW,KTEB,1
KGYY,KETB,1
KBKL,AR94,1
KPIE,KECP,1
KHPN,KMRB,1
"8CA8",CA67,1
LFBD,LFCY,1
LL59,LLSD,3
KF70,KSRQ,1
LPAR,EBBR,7
KPDK,GA49,1
KAEJ,KPUB,1
KFUL,"97CA",1
KSVN,GA39,6
KFTG,"4GA6",1
WMSA,WMKJ,1
"5IS3","24LL",1
LFPO,LIRP,2
KIWA,KP13,5
KCCR,CN95,1
EDDS,OLBA,1
TA73,KAEG,1
KHFD,KPVD,1
KLOU,KY51,1
EGBJ,EGLK,1
KMTO,"9IS9",3
KBWI,PN64,1
EGNT,LGSR,1
KORD,"3WN9",1
LBWV,EDDM,1
ESML,ESML,2
KMKC,KRID,1
KRPJ,K3CK,1
EDVI,EDXG,1
UT13,KTVY,2
KPDK,GE35,1
K3N6,MA55,2
ETSI,EDMO,1
LPFR,EKBI,1
UUWW,EGPK,1
"3MD8","11VG",1
KSUS,KSTL,3
KO88,KHAF,1
OLBA,LFPB,2
EHDS,EHDS,15
KCPS,GA35,2
YSDU,YSWG,2
KJKJ,KILG,1
"3TN8","5TN4",3
"2MN9",MN40,1
EHSE,EHHV,1
MO00,"44MU",1
KSDL,KRIU,1
KSMF,KCLT,2
EDDH,LROP,1
ETNW,EDXR,1
"7PS7",PS47,1
CYYJ,CEF4,1
KBKL,KBED,1
CYYC,IG07,1
KLXT,"2LL2",1
KHOU,KSJT,2
"71MI",KSTE,1
EDDP,LOWW,2
"3NJ6",KCDW,1
KLNS,KMTN,1
KOAK,LIRF,2
KNY2,KUMP,1
KFCM,IN44,1
KHGR,"89VA",1
KNUQ,KABQ,1
KGKY,KGPM,2
K5C1,"8TX7",1
YCNK,YGFN,1
EGLF,EGPT,1
EGNM,LEMG,1
KCPM,KLGB,2
KAFW,"0TS7",1
EGCC,LEZL,1
KSTP,PANC,1
KGGP,KEZZ,1
"01FL",KROA,1
"26OK",KT67,1
KL35,KCRQ,3
KCLE,KMVY,1
KDTW,KCXY,1
"78TE","78TE",1
KGKY,KTPA,1
OA16,KDCA,1
KMKE,"1WI6",1
CYYZ,LIBD,1
KLNS,KFWQ,2
KMCC,"64CN",1
KSDL,"55AZ",2
KMTN,KN51,1
LHSM,EDFR,1
EGSC,EHRD,2
KONT,KBNG,1
K47N,PA84,1
KT82,KOAK,1
"9CL2",OR04,1
GCFV,GCLA,1
KSDL,"88AZ",1
"2MO9",KTUL,1
EDNY,LOIH,2
LIMF,LIPO,3
GCLP,GCLA,2
ESGG,EPWS,1
YTYA,YLIL,1
YMEN,KLAX,1
NC29,K43A,1
"07CL","51CL",1
KTKI,KHFJ,2
"5MO3",MO64,1
KBMG,"3II9",1
RCQC,RCKU,3
KAQW,KHFD,1
CYGP,CPT9,1
LSGT,LSGE,1
CYQG,SC90,1
KSPI,"9IN8",1
KU42,KBWI,1
KSAT,KRIR,2
EPKN,LHDK,1
KAPA,KNKX,1
LIRF,EKSS,1
WT24,"80GA",1
LSPF,LSPF,1
KDCA,CT14,1
"3WN7","75WI",1
EGDX,EGCK,1
OBBI,EGSS,1
EDWQ,EDWG,1
KFRG,KOXC,1
OR28,"4WA1",1
KLBO,"1MU6",1
KHPN,KLDJ,1
CA18,KCCR,1
TA06,KRBD,1
EGBB,LIEA,1
EFOU,EFKE,1
KDAL,"60CL",1
KCGS,KMVY,1
KUGN,"7WI8",1
LFKJ,ELLX,1
KDEN,"3KY4",2
KALN,IL35,1
"39PA","28PA",1
KOAR,CT32,1
"43PA",KPTW,1
EGCV,EGBW,2
KOAK,KTCY,1
LIEE,EDCT,1
EHBK,LIEA,1
"6XS4",KSJT,1
K5C1,"30TX",1
"52CN",CN42,1
KSVN,KVPS,1
K47A,SC32,1
KDCA,KMTP,1
KTYQ,KSGF,1
MMML,K06C,1
KHOU,KU42,1
KTYS,"46FD",1
"07TS",KHOU,1
YBUN,YCOI,1
II45,KSUE,1
EDFD,EDQH,1
KHPN,"49NY",2
OMDW,LIRF,1
"07TS",XA40,1
KBOI,KEUL,1
"8OR5",KBDN,1
EIDW,LHKK,1
KADS,"83TE",1
EDMT,EDPU,1
"4II2",KDTW,1
"98CL",OG15,1
EPWR,EDDS,1
K5B2,NY82,1
EDDK,LJLJ,2
KRFD,KO27,1
TTPP,TVSA,1
K2H0,KMTO,2
KCLT,K9X1,1
ESKX,EPMO,1
RCTP,ZSFZ,1
RJTT,KSMF,1
LECU,LEMD,2
KGIF,"10FA",1
KYIP,"20NY",1
VA85,"09NR",1
EFTU,EFPI,1
KMDT,PN73,1
KJYO,KLZU,1
KBDU,CD48,1
KSAV,FL57,1
"8NJ0",KFRG,1
KTEB,KACY,1
KAFW,KRPH,1
ENBR,ENSN,1
KM54,"6GA0",1
KAEG,KF70,1
KPHX,KA39,1
GCLP,GCFV,1
LOWL,LFLC,1
KRVS,KHOU,1
KMSN,KSTL,1
KBKF,KBJC,1
EDWK,ETNT,1
"01FL",KPLD,1
MI68,KBEH,1
KRWI,KETC,1
GABS,DAAG,1
KORS,KHIO,2
KSTP,KRAC,1
KAKH,"4GA6",1
DTTA,EDDF,1
KTYS,FA18,1
KRAL,KM45,1
NJ58,"51GA",1
EGPH,EPWS,1
KHOU,KAFW,1
LPAR,EKYT,1
K1O3,KWVI,1
ID48,ID07,1
KAPC,KNUQ,2
"96LL","0IN1",1
"19GA",K1A5,1
KROA,"17FA",1
KCLT,KSVN,1
KBLM,KDAL,1
KPHX,KLGA,1
"78NE",NE11,2
K4A0,"25GA",1
KJFK,"60MI",1
KRYY,GE33,1
KIAH,"0WI5",1
KSET,KUUV,1
LKPR,LGKO,1
LSGL,LSGG,1
"0TX6","7XS7",1
EDLE,EDGE,1
YMMB,YCDE,2
"08CL",KSQL,1
EDDH,LDRG,2
LFBR,LFCX,1
EDKN,EDKV,1
KN73,KN81,1
WN92,ID94,1
EDMA,LOWI,1
"2TS8","8TE0",1
EDMU,EDMU,4
XS42,"50TX",1
KSPI,"8II2",1
KRDU,"5NC3",1
KSEE,KL65,3
LGPA,LOWW,1
KSAN,KMIA,1
KHGR,KLOU,1
KADW,"7NJ9",1
KSFB,"21NH",1
EDMA,EDDH,2
KCPS,"1MU7",1
K44C,KMWC,1
"79II",KTYQ,1
"22NC","5NC5",1
CO98,KBKF,1
CA66,KMCC,1
"71KY",KMIA,1
"16TE",KADS,1
KS50,WT77,1
LEPA,LZIB,2
LFAC,LFQT,1
LSGG,ULLP,1
NH16,KLEB,1
MI77,"59IL",1
EGHI,LFIB,1
LOLU,LOLG,1
EDRF,EDCM,1
LSZA,LSZL,2
"86CO","0CO1",1
KLAX,KSGF,1
KI69,"2II3",1
LEGE,LFLY,1
KAFW,"8TA7",1
KRHV,CN44,1
KMKE,KPVB,1
KBNA,"23OA",1
KATL,"4IA2",1
"2MN9",MN87,1
K1O3,KO69,1
SC34,KPDK,1
EPPT,EDTS,1
KMLB,"3FD6",1
KPAO,KMER,1
EKRD,EKPB,1
CEN4,CAP9,1
KBOS,NH88,1
KIAD,K7A8,1
KHPN,KSNC,1
KFLL,KX50,1
K33J,"3AL1",1
"0GA1",SC26,1
KRIV,KIND,1
KHWD,CA54,1
YPAD,YADG,1
"4II2",II81,1
KVPS,"4GA6",1
K14J,KGZH,1
KTPA,KHEF,1
KSQL,KM90,1
K3GM,KYIP,1
KLZU,"8FL0",1
KO88,KAUN,1
SBSP,SSIS,1
AL08,KGMU,1
KSUE,KATW,1
KUKI,KAPC,1
FD89,KNSE,1
"5IN3",KFKR,1
KBKL,OH61,1
"1MN8","1MN8",1
ESGA,ESGP,1
SBMM,SBEC,1
KPMP,"9FD5",1
EGBS,EGBK,1
KAPC,KE80,1
KALN,"44IS",1
KCLE,KFWQ,1
KMDW,"88PA",1
K1J6,KX60,1
KRAL,"63CN",1
KPWK,KSTP,1
KLVK,KBDN,1
KSPI,KBLV,1
LCPH,EGPG,1
KHWO,"94FL",1
"0KS3",SN59,1
KOSU,OI45,1
ZGSZ,ZGSZ,102
KMMU,KMKE,1
KBUR,CL46,3
KBOI,ID95,15
FL59,KJFK,1
KSNA,KAJO,7
LFPG,LEMG,16
KTYS,KDEN,3
KCMA,CL25,6
FL97,FL97,15
KDAL,KHOU,148
KBNA,KBWI,34
KDFW,KJFK,35
VIDP,OMDB,110
EGLL,KMIA,9
KBOS,KPHX,32
KDEN,SSJC,1
WBKK,RCTP,14
VHHH,LEMD,7
KLAX,KMCO,16
KSFO,EDDF,20
CYUL,KDTW,13
KGMU,VA72,1
KSTC,KSTC,8
"0PA6",KPHL,8
"47AZ",KIWA,9
LFPO,LIMN,23
VABB,VIDP,411
KSJC,KDAL,40
KXNA,K06C,17
"7MO3","3AR7",1
KHIO,OG44,6
KORD,KRNP,7
KFLL,GA92,27
OMAA,YBBN,4
KBED,KBED,114
EDDT,EDDF,161
EDDW,LEAL,1
WMKK,VIDP,30
YPPF,YPAD,51
"06FD",KGIF,1
EHAM,KMSP,22
EGKK,EHAM,66
OERY,OEAH,1
EDDF,LGAV,37
KSSF,XS79,1
MA72,KUUU,6
KATL,KHFD,15
EDDL,EHAM,25
EDDM,EDDT,177
KBOS,KBNA,62
KPDX,KPAE,31
CYUL,EBBR,9
LEAL,ESKN,6
UIII,ULLP,4
ESGG,LYBE,1
LRSB,EDDM,9
KLGA,KBNA,91
KMCO,KSEA,10
LEBL,LOWW,38
KIAD,KPDK,4
TGPY,KJFK,2
KHPN,II74,3
LSZH,LHBP,16
KJYO,"90VA",2
KIAH,"60CO",14
EGNX,"71KY",5
EGUY,EGCL,2
LGSR,LGAV,48
KDTW,EGLL,6
LIRF,EBMB,21
CYQB,KEWR,5
KDFW,"71MI",13
RKSI,SBGR,2
EGCN,EIWT,1
KFLL,TS53,1
KALB,CT11,1
MN87,KFCM,1
UUDD,EGLL,9
KORD,OTHH,7
EPKT,EGGW,17
RJTT,EDDM,9
KJFK,EDDL,7
K1L9,KCDC,5
LILB,LIMB,2
KGKY,KGKY,91
LPAR,LOWW,8
KWBW,KORD,13
KX35,FL33,1
KOAK,KHOU,17
LIPZ,KPHL,7
KORD,"52NY",1
KBIV,CYYC,1
EDJA,UKBB,3
EPPO,LTBV,1
KHND,KEMT,5
KSJC,KMDW,14
LFCT,LFRC,1
LIMC,LIEA,24
KS50,KSEA,3
KFHR,WA68,4
KPHX,KCPM,4
KDTW,NY55,1
KBOS,EKCH,8
EDDS,EDGB,1
"77PA",KN71,4
KHPN,KFXE,1
EPWA,EDDT,10
KBFI,WA35,8
EHAM,EGGP,15
EGGP,EHAM,15
MA72,KEWB,6
EGAD,EGNM,1
SBGL,LIRF,1
RPLL,VTBS,45
KENW,KIAD,1
KSAT,"1XS1",1
K1B6,MA66,1
EGLC,EINN,4
"80WA",KAWO,1
KPOC,KCCB,6
KMCC,"34CN",5
LEMD,LGSR,2
KIND,KTEB,9
LSZH,EGGW,13
EDDF,LIPZ,39
LFBO,LFRI,9
KOKH,KSFF,1
ULLI,LKVO,14
EPKK,EDDF,36
KBNG,KSLI,1
FL16,KBKV,1
KIND,"4GA6",21
KPIE,"10FD",1
CYOO,CBM2,2
LEMD,EFHK,7
KGRR,KBNA,4
KCLT,KMCI,20
KCPU,KSMF,1
LSZM,EDDF,10
RCSS,RKSS,15
YMMB,YBLT,3
KAUS,"1AZ2",14
ESSA,EFTP,19
KBNA,"6FD7",1
VG43,KIAD,2
KLAS,KSLI,1
KORD,OA16,34
SBBR,KORD,1
KRDM,XS20,1
OMDB,LTAC,6
KDTW,KBNA,29
K9F9,TX21,1
LKKL,EPKK,2
KIWA,KLAS,9
KSDF,KORL,3
EDDF,EPBY,4
MI53,KDCA,3
EGBG,EPWA,1
LIPH,EDDF,7
YBBN,YPMQ,5
