"estdepartureairport","estarrivalairport","flights"
LFMN,ESGG,2
"9NC3",KVDF,1
JY04,KTTN,2
KORD,KHSV,22
LEAL,EGNM,30
EDDF,EDDB,94
KAUS,KDTW,27
KSTL,KSLC,22
KSMF,KSAN,90
KAUN,KSAC,4
KSDF,KLGA,31
LA17,KBTR,1
EGJJ,EGHI,11
KDEN,CYYZ,29
KIAH,KMDD,28
KATL,KSEA,79
KIWA,"14AZ",1
LFPG,LEMD,75
EPKK,LD57,8
LEPA,EDDH,76
EIDW,EGNS,10
KDEN,WY45,11
KCMA,KPAO,4
KIAD,CYYZ,46
LFDX,LFCC,1
EGPH,EGNX,17
EFTU,ESSA,16
RKSI,RCTP,61
CA66,"9CL2",4
LEPA,LFPO,37
KMQY,"7TN3",18
KCVG,KLUL,1
KLAX,KSTL,22
EDDB,ESSA,25
KIND,KPHX,34
EGSS,LHBP,29
VTBS,RKSI,56
WSSS,VIDP,43
YSCB,YMML,85
KN71,KN40,1
KPBI,KTEB,19
TE68,TA80,1
KPIR,KSUO,3
KBIV,KLOT,2
NZCH,NZHN,17
LROP,LTFJ,6
KTEB,KPWM,4
KORD,KSAV,18
KSLC,KDFW,60
TJMZ,TJSJ,1
PN71,PS06,1
KGPM,"2TS0",2
KOAK,KSEA,69
KONT,KSJC,33
KSMF,KSLC,35
LEMD,EDDF,69
KDDH,KDDH,3
CYYC,KIAH,2
YBAF,YBCG,11
KBNG,KRNM,1
KMSP,MN32,7
KFRG,CT14,2
KIAD,VA19,6
KSEA,KMCO,35
LEMD,KJFK,32
LIMC,EDDK,13
KHHR,KSNA,4
KPYM,KLZD,1
KTPA,KLGA,39
CYEG,CMF2,3
EG34,EGHP,1
KMDT,KLNS,2
KBAK,KLUK,3
KALB,KRDU,2
KATL,KBNA,83
MMMX,MGGT,29
LIRF,EGPF,2
KBDL,"90VA",1
KSBM,WS14,1
LFMN,LFQQ,26
EDDM,LPPR,11
LFPB,ELLX,3
KMSN,KMSN,108
KDFW,KMAF,19
KT54,KFNL,1
KSRQ,KSTL,3
KSMX,KSMX,17
EGKK,EGTR,1
EPWA,BIKF,7
KOMA,KSLC,16
KJZI,KSBY,1
MMPB,MMHC,7
KJFK,LEMD,32
EPMO,LIRA,11
KHTO,KLGA,10
KROC,KBWI,22
LFHC,LFMN,9
KCVG,"20FL",2
KJQF,KIAD,4
"03OK","9OK7",2
KCRP,TX49,1
KATL,GE30,12
KCPR,"44WY",2
"74OR",KMMV,3
KDSM,KSGH,1
KNFG,AZ45,1
"3SD4",KIWA,2
KSFO,KOAR,5
KBTP,"3PN9",1
KBDR,KEWB,2
KMDW,KLGA,47
KBMQ,TS01,4
LIRF,KIAD,27
VGTJ,VGBR,3
KOMA,CYHM,1
KAUS,KSGR,10
KDET,K1B1,1
YCAB,YCHB,2
KCVG,FL86,1
KPJC,K1G5,1
EBBR,EKCH,15
"40AR",KCPS,1
KE25,KDVT,41
SADM,SADJ,14
LPPR,LIMN,6
VHSK,VHSK,14
KMJX,KFZY,1
KCRG,KSFB,1
KCVN,KPRZ,2
EDWF,ETWM,4
KMIA,MGGT,27
KMSP,PN37,4
KAUO,KHKS,1
MMSM,KMFE,1
EDDH,LFBD,3
ENJB,EVRA,1
LKMT,LIPZ,1
KFLL,"49OH",8
LELN,LEBL,5
LSZB,LIPE,1
EDDF,LGKO,11
YSSY,YNBR,3
KIAH,"14MS",3
EYVI,EDDF,18
KTIW,KPLU,2
KCVG,KTPA,15
KHFD,KACK,2
CYVR,KSNA,11
CYVR,CYVK,16
EGTC,EGBE,1
RJOO,RJCC,58
KDUH,OH45,3
K3CK,KC77,3
NZTI,NZAA,11
KONO,ID63,1
KHEF,KCGE,4
K2R9,KHYI,1
KMLB,KCOI,4
KNOW,KNOW,6
SDAI,SDVH,1
KLVK,KO41,1
"94XS",KT51,1
LEMP,LEMD,2
ENGM,BIKF,21
LIMC,OMDB,12
KIAD,"1MU7",1
KMDT,KMDT,5
KMCO,KTYS,2
KHOU,"3TS3",1
KFRG,KPIE,1
LILE,LILE,21
RJTT,RJTL,9
KFTG,KCLT,1
CYHU,CES2,4
KB19,KB19,8
KDAY,KDEN,7
KDXR,KHPN,6
RI20,KHPN,3
KMKE,KPCZ,1
LFPB,EGLC,5
EGGW,EICK,6
WSSS,LTFM,12
"77TX",KTME,11
KTME,KTME,8
KFCI,KBOS,1
KCHA,KCHS,3
LEBL,EGGD,20
KLEX,EGSS,1
KFLL,KSVN,1
KFSD,KPDX,1
"4NY0",KPTD,2
EHEH,LGAV,3
LEPA,EGHI,7
RJTT,RKSI,20
KIAD,VT48,22
SADF,SA04,5
EGNE,EGNR,1
RJCH,RCTP,7
MBPV,KATL,7
KHSV,KGMU,2
TX64,XA72,1
PAEN,PABG,16
KDFW,"7FD6",2
KISP,KPVD,2
OMDW,WSSS,5
KORD,KJST,4
KMDW,KCVG,11
KIAH,"6NJ9",14
EGTB,EGTH,2
KJFK,RCTP,11
"5TE2","4XS9",1
KHIO,"4OR3",2
KATL,"6FL3",5
UHWW,VTBS,3
EDSB,LWSK,3
OMDW,LFPG,10
LGRP,EDDF,12
EDXW,EDAZ,2
"0TN6",KTYS,1
KEZM,K48A,3
KCRP,KGTU,1
TBPB,TVSA,3
KRAL,KSPF,1
KRCM,KRCM,3
SNAO,SNAO,8
LIRF,LEIB,8
KIXD,NE42,3
KASH,KACK,5
"8KY3",KLEX,4
KILG,KXLL,7
EDDS,EHRD,2
EBMB,EVRA,7
KOAK,CA16,3
KGSP,KDCA,20
CCK5,CNY3,1
LIRF,OM11,1
YCNK,YSBK,16
KLAX,KJAX,2
"3KS1","4MN4",1
KLGA,KDAY,12
LFMN,LPPT,23
KDTW,KBDL,11
NH69,"90ME",1
KAUS,KCHS,1
KLGA,"49NY",9
EGUD,EGLP,2
KCRQ,KF70,15
KGYR,KA39,5
"4SD4",KAPA,2
OK49,TS63,1
K6I2,"33OH",1
KSAV,K09J,2
KIAD,KDXR,1
KORD,KFLL,35
OK50,"3TS0",1
KMDW,KABQ,13
KHHR,KSDM,1
LEBL,KLAX,7
LPFR,EGSH,2
KCLT,KHXD,5
KMMV,KMKC,1
K2W6,KCGE,10
LFMD,LFNG,5
KMGM,KPNS,3
CYYC,CEH3,1
KIAD,KJQF,3
EDDN,LHBP,3
"74XA","76TX",2
EKCH,WSSS,6
SC67,KFTY,3
KMAF,KOUN,1
KY47,"58OH",1
EGTD,EGTD,1
EGTK,EGTR,3
KISM,KSFB,2
KWWD,KESN,2
"1AL8",KATL,2
LFML,LLBG,4
KBHB,KMMU,1
KAIZ,MO10,1
EGSS,LFPB,5
CEN3,CYBW,1
KPWK,KFCM,6
TJIG,KPMP,1
KOPF,MDJB,7
KADW,MD53,1
UGTB,URMM,4
KRDU,KCLE,3
KBTV,KCLT,8
KIGQ,KMZZ,1
"57AL",KCEW,2
KFPR,KHWO,1
ZGSZ,RJAA,25
KSFO,KONT,36
KSFQ,VG37,1
KTPF,FA35,1
KRDM,KLAS,3
KMMU,KBWI,3
KDAL,KOPF,6
LTFE,LTFM,21
UGTB,UBBB,1
KMKC,KLWC,13
K7T7,KINK,1
"4TN0",KTYS,1
LKPR,LEAL,5
LSZM,LEAL,7
KTEB,ME08,1
KLAF,KOSU,1
KN03,KN03,7
KPDK,KMAF,1
KU76,ID26,1
EDHK,LSZH,1
RJOO,RJNY,1
OMDB,LROP,10
TE17,"5TA1",1
KTPL,"40XS",1
KMMU,KBNA,1
KDAL,KLZU,1
"9WI8",KUGN,2
LPPT,LEAL,10
YTDN,YWBL,1
KMJX,KBID,1
KBNA,KSDL,1
KJCT,"35TX",1
"4NY4",KSCH,2
KSFO,"1OR6",2
KROA,VG25,2
KFTY,KFZG,1
CYSB,CYHM,5
KTMB,"9FL7",4
"0XS2",KT74,1
EFHK,LIRF,13
KFIT,KASH,1
KFNL,KCEY,1
PN25,"32PN",3
LGTS,LIRF,3
KHZR,KNEW,1
KLDM,"1II8",1
LIMC,LIPZ,1
KSTL,KOAK,4
KPWT,"65WA",1
HECA,CYYZ,2
EDQA,EDQH,1
OJAI,LFOB,1
EIDW,EPSD,2
KEWR,MS62,6
CL36,KSVH,1
KATL,"82FL",9
KMRB,KFVX,1
KBUF,KIND,5
CSQ3,CYSC,2
LZTR,LZIB,1
KIND,TN18,1
CPR5,CNQ4,1
NZKF,NZKE,1
ENGM,ENGM,8
KDAY,KAZO,1
EGGW,LIMP,1
KLAS,KOKC,23
LGAV,LYNI,1
LICZ,LIPC,1
KLBB,KAFW,3
CYKF,CYCK,2
LGSA,LGAV,5
EHKD,EHAM,2
LZDV,LZIB,3
MD03,"93MD",1
KCCY,KGSH,1
KOLV,KMIA,1
KATW,KCLT,7
KCLT,KATW,7
KRZR,KCLT,1
LFMD,LD57,1
"77KY",KIOB,2
LICZ,EBCI,1
KJWN,"0KY4",1
VHHH,RJCC,5
KSHV,KIAH,2
KBFI,WA04,4
OJAI,OPLA,1
EGTR,LFMD,1
LEMG,LFPB,3
OI62,K1G3,1
LFJL,DAOO,1
KSMQ,KOBI,1
EDMA,LEAP,1
LFML,LEIB,3
KDKX,"0TN6",1
KLBB,"01TX",1
KEMT,KLGB,19
KSFO,"6NJ9",9
K1G0,"43OI",3
KJVL,"6IL0",1
KJWN,CYTZ,1
CYYZ,"2IL7",1
CYWG,"1AZ8",1
K42J,K42J,1
SC05,KPDK,1
EGLF,EGGW,9
SC34,KGMU,4
KNHZ,KPVD,1
K2S8,ID85,1
KMJX,KOBI,2
EDDS,LGKR,2
LEAM,EHRD,3
CYSH,CNP3,3
EPWA,EBCI,7
KN51,KMVY,1
LIMC,LGTS,3
KECP,KJYO,1
TBPB,KJFK,15
KHEF,"25VA",1
MY95,K8Y6,1
EGTB,EGLM,2
KCLK,KPWA,1
KRNT,"4WA2",1
EGDW,EGLM,1
KTYS,SC51,1
EGSQ,EBOS,1
EBAW,LEAL,2
"0MS8","0AR7",1
K0L7,KCNO,2
"53OK",K1K4,1
KBID,K0B5,2
LSGK,LFPN,1
TN89,"8TN6",1
CYND,CSU3,1
EDWR,EDLT,3
MA36,"6MA2",4
CST3,CSG3,1
LEMG,LFST,2
KAFW,KHOU,1
VT25,KFOK,1
KARR,IS65,3
LEBZ,EGLF,1
KMDD,KMDD,11
KMIC,MN18,3
LFHC,LEAL,4
NY09,KRME,1
KSAC,KM90,1
KONT,KDAL,8
"20VA",KHWY,1
KTEX,KGYR,1
"10OH",KBKL,3
KSAV,KCRG,2
KDEN,KBDL,6
NC76,"32II",1
KGYL,"67MN",1
KLGA,KACK,7
KSGJ,FL46,1
KAPA,CD17,1
KAPA,"4CO7",2
LFBT,LSGB,1
"1KS0",OK66,1
KMAF,KF83,2
EPGD,EPRZ,1
KJYO,"2VG3",1
KASH,KBID,2
KVNY,KYIP,1
KMTN,MD22,1
KFYM,"8TN4",1
KORH,K7B2,1
KMFE,KDFW,11
"59WA","20WA",1
"98OH",KHZY,1
EBAV,EBAV,7
"3OK7",KLXT,1
KACY,KGON,1
KIKV,KTZT,1
LFMN,LTFE,3
KMHE,SD99,1
"5NY5","0NY0",1
EHAM,CYYC,7
CYOW,KMCO,7
KOSH,K8D1,2
LIDW,LIMB,1
ESMS,ESMS,6
LGSA,LGKN,3
ESGP,ESGU,2
KGMU,KJAN,2
OR81,K7S9,1
EDDV,LEBL,4
KRMY,"30MI",1
LS69,"0LS0",1
KSGR,KBDR,1
KVNY,KAVX,3
YRED,YBMC,2
FD09,KORL,1
KRAC,"31WI",1
KLEE,KORL,5
WA69,KSHN,1
EGLK,EGJJ,2
KPWT,KRNT,3
TE84,"04TX",1
KIAD,KJHW,1
KCPR,"12XA",1
LSGG,LFIX,3
LFLS,LSZH,2
KLUK,KLAF,2
KGYR,AZ00,4
EGLK,EGBD,1
KPIT,KCHA,1
EGTR,EGJJ,2
KMKC,KBWG,1
KFOK,KF45,2
EGSL,EGUY,1
YLOY,YMPC,3
KCGS,KTEB,1
EDXT,ETWM,1
SC51,KPDK,1
KACK,KBAF,2
EDTX,EDTX,12
KAGC,"3PS9",4
KIWH,K7L8,1
KBRY,GA88,1
KEWR,"80PN",5
LBLS,LBLS,3
EGPH,LFRS,2
KEUG,OR28,2
KJYO,KESN,6
KNOW,WA61,1
EIDW,LPPR,6
KLOU,KDKX,1
KPWA,"6OK8",1
KLAL,FL00,1
CYHS,CJA3,1
KMKC,KLXT,2
CT80,KPYM,1
"67KY",KPMP,1
VG33,KORF,2
KSRQ,FD72,1
IG03,KLOU,1
"06MO",KPHX,3
EDMC,EDMC,1
"50TA",XS95,1
PS68,KBLM,1
"78VA",KMDT,1
EKRK,EKSB,1
EKRK,EKOD,1
LICZ,LSZM,4
"06WI",KMIC,1
KRDM,OG00,10
LFMT,LEZL,2
KRIC,KLAX,3
KFCM,MY66,1
KMQY,"89NJ",1
K6R3,"0TS5",1
WS72,"0WI7",1
EGFF,EGSV,1
EDGM,EDFM,3
KDAL,KUTA,2
K1B6,KBOS,3
"8MN1",MN45,1
LIML,KEWR,1
"2IS3",K3MY,2
"2AZ4",KGYR,1
KMCE,KCNO,1
AL09,K8A1,1
KFRG,KIAD,10
EDDL,BIKF,6
CYHU,CSH2,1
KJWN,KCMH,1
KYIP,KLNK,1
CYGK,CYKF,1
"2GE3",KBCT,1
KDVT,"36AZ",1
KIPJ,K14A,5
KD02,IA31,2
LGKR,EGSS,5
KATL,"0TS2",1
K7SP,KIAD,1
KGYR,KMZJ,1
KLNA,KBCT,2
K3MY,"3IS8",1
KHKY,KJQF,3
KHFD,KCLT,1
EDDP,EKBI,7
LTAI,ETNL,1
KPIM,KSSI,1
"48KS",KK78,1
"34II",TN85,1
KLUM,KCEZ,1
KBUF,K9X1,1
KPHX,"1ID4",4
KFDK,KCGS,1
KLDM,KD95,1
KPMP,KFXE,4
KSRQ,FD38,4
KNBG,KCEW,1
IN56,KOZW,1
"2OH8",KI68,1
"0IL8",KASW,1
KSAC,KO69,4
KETB,KSBM,1
KDCA,IA24,4
EGKE,EHSE,1
"1KS0","8OK7",1
KMDT,KDAA,2
LFPB,LFRG,2
LGMK,LIML,1
KBIS,KRAP,4
KBUY,"7NC6",4
KHGR,KHGR,1
"40PN",KMVY,1
EDXQ,EDMS,1
KIGQ,KENW,1
"13PA",PN40,1
KF46,K76F,1
"71AK","20AK",1
AL29,AL29,1
KJAX,K0A9,1
YMEN,YKYB,2
CKU2,CJS7,1
KBFI,KGKY,1
KLGA,NY72,4
KTCM,KNUW,1
LKPD,LKPN,2
YMEN,YLCS,4
KJAX,KPIA,1
EDTD,LOWG,1
KSPG,"22FA",1
KFXE,KLBO,1
"62GA","0GA0",1
NZMS,NZPP,1
KSAN,CA07,3
NK53,KHPN,2
JY04,KMTN,1
KJQF,KFXE,1
OI49,"6OH1",1
KFAY,KLNS,1
EGVO,EGKB,1
LROP,EYKA,1
"97GA","3GE8",1
KBFI,KSEE,1
KJQF,"68NC",1
OLBA,EDDF,1
KDFW,KLOT,1
"7FL4","52FL",1
KLBB,"6TE6",1
KRWV,"08XA",1
KSJC,CA16,2
"3OK9",KCUH,1
KAUS,KCLE,1
KAJO,KDVT,1
EGBO,EGNH,2
KTRI,KTEB,1
VT48,VT01,1
LIRJ,EGKB,1
LICB,LICZ,1
KLSE,WI65,1
K24A,KAVL,1
YMEN,YELW,2
LIQS,LFMN,2
MMUN,SBGL,1
"0TN0","0TN0",1
FAOR,EDDF,9
KCHA,KSGR,1
KBST,KWVL,1
EPRZ,EPGD,3
GA98,GA08,1
K04A,AL37,1
KMSN,KCMI,1
KMSN,"85MI",1
EYKA,EDDB,3
KSGH,K3M3,2
EDAJ,EDAC,1
KVNY,KDVO,1
KRZL,IN90,4
LDZB,LDDU,4
LIRF,LFKJ,2
KCRS,"9XS1",1
KMDD,KEDC,3
KBAZ,"50TA",2
KCLT,NC67,1
KLOT,KMGY,1
MBSC,MBSC,1
LFTW,LFMU,3
KSDC,NY31,1
KLNS,KI22,1
KL70,KNTD,1
OG16,KEUG,3
K7S9,K5S9,1
EDDV,EHGG,1
KEAR,KBTA,2
EKST,LSZM,1
KBUR,KCCR,6
KMXF,KMGM,1
KALB,"3MA2",1
KBKV,FL48,3
KRNT,KBDN,1
KACY,KDTW,1
KX40,KVDF,1
EICK,EPPO,4
"00WN","00WN",2
KFLL,"23MI",1
"66TE",K50F,1
KMSN,KMDW,2
KPVC,KTHV,1
KPIE,KI12,1
KMKG,KDET,2
EDFJ,EDFP,1
K1G3,KLCI,1
EGHJ,EGLK,2
KVNY,KDFW,1
"1II4",GA09,1
EDAD,EDAQ,1
KABE,KBNA,2
KABE,KLOT,1
"97FL","00FA",1
EBCI,EBNM,1
ETNG,EDLS,1
LEGE,EBBR,4
KC03,KPTK,1
KPMD,KL70,1
LOAG,LOXT,3
EFHK,EGKK,5
ESSA,LTBW,1
SN89,KOJC,2
LEMD,LEVT,4
KABI,K77F,1
EGLL,LEIB,9
KLBB,KGNC,8
PN66,"3PN9",1
KRYV,"4WI6",1
K6S1,KBIL,1
"47MI",KHYX,2
LILV,LIMA,2
KN40,"2NJ1",3
EDDN,LROP,2
KFYV,"62OK",1
KDTS,KVDF,2
KATL,"7FD6",6
KBED,"32VA",1
KM33,KZER,1
KFNL,"8CO2",1
KSGF,"99KY",1
K3I7,K3I7,6
KBOS,KFIT,2
KLHQ,OI01,2
KF45,KEWR,1
IL36,K10C,1
FL00,KORL,2
LFMD,LFRI,1
LIRQ,EGPH,1
KMCO,"14MI",1
EDFE,EDTO,1
KSMF,KSBA,1
"20FL",KSUA,1
KMCI,KPNS,4
"78VA",KBWI,1
KTTA,"7NC3",1
ID63,KLGU,1
KFZY,KHEF,1
K07V,KAPA,1
"81CA",KAPC,4
"15MN",KFCM,3
TS61,"77TS",1
PA72,"6PA5",1
EGDD,EGVN,1
KOSU,KPLD,1
LKMT,LDZD,1
KORD,KBLM,1
EGTE,OJAI,1
YPPH,LFPG,5
VA52,KN71,1
KDCA,"1MU2",1
EBBR,LIEA,1
LPFR,EGJJ,2
KMKG,K9D9,1
EGHH,LFBD,1
KCLT,LL18,3
KLNR,IA80,1
KPHF,KJHW,1
"47TA","3TS9",1
K05C,K06C,1
"00WI","3WN4",1
KCMH,"6OH7",1
KCPM,"54CL",1
LSZM,CYUL,2
ESOH,ESKH,1
EGNM,LGRP,4
KOJC,KTQH,1
KDNV,KDNV,1
KNRB,KCRG,6
KI69,"2OH8",1
CYJN,CSY4,1
KDXR,KHYA,2
KIND,KVPS,1
KS50,OR28,1
"28MA",KDSM,1
CYLS,KALB,1
KHYA,KCGF,1
LOWI,EGBB,1
EGNV,EGNG,1
KIAD,CYYC,7
TJSJ,MMJC,1
"7FL6",FD72,1
KBXK,KE63,1
EDWN,EDXC,1
KUTS,KDKR,1
EBGB,EHMZ,2
KVLL,KMTC,1
KFDK,IN44,1
KSEA,WA79,4
KSEE,KONT,1
SBJD,SBBP,1
KSJC,CO95,1
KNGP,KABQ,2
CSE4,CYRO,1
LW67,EDNY,1
KBKL,"3PN9",1
KWST,KACK,3
KHYI,KT74,1
KGDJ,KF82,1
XA10,KFTW,1
LFPZ,LFRN,1
KCAD,"6MI3",1
KLAS,"16MI",1
KNEW,KSRQ,1
KSDF,CT08,1
KABE,"63PA",1
KORH,KTHV,1
KCLE,"5TX6",1
KNGP,"7TA0",1
EDDN,LGKO,5
KPRO,"6IA5",1
KCGZ,KGEU,2
KAQO,"84TX",1
KOLM,KS39,1
"06VA",KPVG,1
PA92,"5PA3",1
CRK2,CYBP,1
KDTW,EDDM,4
KTDZ,KLUK,1
"3GE7",KPCM,1
KSPI,KMDW,1
LFQL,LFOI,1
KMWC,KRYV,2
NH86,KLCI,1
"3VG9",KRDU,1
LGMG,LGIK,1
KIXD,KLRY,1
CNC3,CCK5,1
EGPK,EGSS,6
"31MA","8MA4",2
KBFI,KS50,1
KBOS,KDPA,1
KMJX,KHTO,1
ETAR,KBWI,1
TA55,TA55,1
KBVY,KARB,1
KGMU,KIGQ,1
KPOB,KPIE,2
KDVT,KBTF,1
KVNC,KHOU,1
KBUR,KPWT,1
KN82,KHPN,1
II82,"36II",1
KDAL,KHTO,1
K0A4,NC52,1
KBAZ,"2TX6",1
RJTT,KSJC,1
"7FD6",FA44,1
KMDT,KCMH,2
"02CD",MS22,1
KPGV,KTTA,1
KPIR,SD98,1
MS70,KHKS,1
KMRY,NJ25,1
CYVR,"5WA9",1
NJ61,"2NJ3",1
FAMY,FADX,2
"80NC",K2A5,1
KEUF,K11A,1
"2IS6","2IS6",6
KEXX,"4NC0",1
"08XA",KAUS,1
K4G6,K5B2,1
K47N,KN73,1
ENGK,ENJB,1
YJBY,YJBY,4
FASD,FACT,1
KSDF,K8C4,2
"25CL",K1O2,1
KFYM,KM54,2
KTYS,"30GA",1
EGKR,EGTD,1
KBLI,"7WA3",1
GA67,KI67,1
KTCY,KAPC,1
KORH,KPYM,2
"7NC3",KW03,1
KDSM,KPWM,1
"3NK5",NK08,1
CYHZ,PANC,1
KLGA,CYTZ,1
KTYQ,"49II",1
DE27,KPNE,1
EFHN,EFVP,1
MY35,KRGK,1
K1A4,KGZH,1
LFAV,LFPN,1
LFML,EKBI,1
LDZA,LFML,1
