"estdepartureairport","estarrivalairport","flights"
KTUS,KDFW,45
KDFW,KTUS,50
KIAD,KHMZ,1
CYOW,CYVR,25
KMCO,KPIT,14
KDEN,KOAK,37
LFML,LFKB,33
EPKK,EHAM,30
LFBD,LFML,31
OJAI,LROP,2
K1BT,KSUS,2
KSCH,KSCH,40
EGNE,EGHY,1
EGSS,LEMD,21
LDZA,LCPH,1
KLNK,KVPZ,1
PANC,KMSP,14
KBVY,KBVY,265
EDDF,KMIA,10
KMSP,KPIT,13
KAUS,KSTL,19
RPLL,WSSS,102
KGMU,KGMU,177
KEWR,KJFK,15
"4PS3",KJHW,1
KEZM,"3GA8",2
KDEN,KSLC,162
NZNE,NZNE,163
EGGD,LPMA,4
KCLT,"9NC6",32
KORD,KDCA,122
WI29,KSGS,3
KASG,AR35,7
EPKK,ENGM,16
KHRJ,KSOP,2
KBNA,KSRQ,5
KSTL,KGGI,1
LTFM,LIPE,18
TA02,KFTW,5
IL38,KARR,44
KFUL,KLGB,10
KSWI,"69XS",1
KOMA,KMDW,39
KTPL,K66R,1
KPNS,KPNS,113
KSMF,KMSP,12
YMML,YBMC,40
KWBW,KIAD,4
KTEB,MA18,2
"27XS","27XS",2
SBBR,SBVT,19
LSZM,EDDK,9
KMRY,KTRK,1
KSUS,KLUK,1
MY19,KRAP,2
K4A7,K4A7,30
KRHV,KRHV,312
KRZT,II76,1
YPAD,YBCG,15
KADS,KSGF,2
KHFY,"58II",2
KBWI,KMIA,42
CYWG,CYOW,22
LKPR,EHAM,52
LFBH,EGSS,6
KSDL,KLOT,1
KBWI,"20MO",1
KGPM,KTKI,3
KATL,KCVG,75
KDAL,KFOK,1
KPMP,FD38,3
KAVL,KMSP,7
SC40,KROA,1
LEMG,EGLL,15
EGPF,LEMG,18
BIKF,LFPG,23
RI20,KMDW,16
TX68,"5XS0",1
"38CL",KPDX,1
KAGC,KTTN,15
EGHQ,EGPH,5
EGGW,LFBD,4
KCLT,KALB,26
"2NC4",NC86,1
"2MD1",KDCA,3
KPHL,KACY,1
KORD,KGSP,18
"8TX7",KGSP,3
LEMD,LSZH,49
ESSA,ESTA,18
YBLT,YBLT,40
K1G4,K61B,39
KLVN,KDEH,1
KONT,KHND,2
FD08,FD08,9
"6AZ8","6AZ8",3
KJWN,TN37,1
KTOA,KLGB,40
KCLM,KLWS,1
KDAL,"7TX7",6
KP08,KFFZ,16
EGGW,BIKF,4
KMSY,KATL,75
LPMA,EGKK,11
KHPN,SC50,1
KSHV,"02CD",1
KCEY,KM25,2
KDFW,KBOI,15
LEJR,EDDL,1
K4N1,"4NY1",6
LDZA,LWSK,4
OKBK,OMDB,20
KJFK,KLUK,6
KLOM,KOXC,3
LOWW,EGSS,21
K1A5,KJZP,1
KMTN,KCLT,2
KBWI,KCLE,9
KLAX,KSTS,8
KLAS,FD38,1
KPWA,"75OK",4
KMQY,CYYZ,1
KCLE,SC50,1
KHDN,KVTN,1
KTDF,KRDU,10
KSEA,KTPA,18
KPHX,CYUL,3
ETHA,ETHN,1
KSTL,"49OH",10
EGLL,RJTT,35
"5II5",K2R2,15
SABE,SPOL,14
KPHX,KPVU,8
K1G0,K1G0,13
KLEX,KIMM,1
PA30,KABE,3
KRYV,WS91,1
LIMC,WSSS,9
KAVQ,KAPA,1
KBIS,KDEN,26
SBKP,SSEF,2
KBUF,KATL,33
KTEB,KTYQ,3
XS10,XS10,1
"8TX7",KIAH,4
KJWN,KRZR,1
KCDI,KOWB,1
NY72,KLGA,6
KJFK,CYYC,8
EDDB,LEMD,29
EDTX,LSZH,2
EDDK,LICJ,6
KIAH,KLAL,3
KBVS,KCLM,1
KSBD,KMSP,5
KNGP,KEBG,4
"5AL7","5AL7",12
LHBP,EHAM,33
KMVY,KHYA,16
"00WI",KPCZ,1
KADW,"6NC9",1
EHAM,TNCA,9
KOXC,KSNC,10
KCHS,KDTW,21
LSGG,KTEB,1
CYUL,KMIA,10
LFMN,LFHW,1
KTHV,PN00,1
KPHL,"3TN6",3
EDDF,KDWH,6
SADF,SUJL,4
CYYB,CYSB,17
SAEZ,LFPG,7
LEPA,LEVT,3
KILN,KDEN,7
KOKV,KHEF,5
KBJC,"6CO6",1
KDXR,KBDR,5
"6OH7","9II2",3
KSRQ,KOPF,12
"00AZ","2AZ7",1
LEMD,MMMX,44
LJMB,EDMA,1
LIRF,SAEZ,14
RJOO,RJAA,14
K3G4,K1G5,4
LFPG,ENBR,9
CYYC,EHAM,7
LLBG,LPPR,1
LROP,LGAV,11
KTMB,KTEB,2
MMVR,MMJC,5
ELLX,EGLL,10
YPJT,YPKG,27
CYHM,KTEB,2
KHOU,KDEN,44
KDFW,KGRI,10
LJLJ,LGLM,1
LSGG,LFBD,19
NY02,NY02,7
KORD,SN16,1
KIND,II19,1
EGLF,EIDW,7
LFML,LPPR,6
EDVE,ETNL,2
LMML,EGPH,4
OMDB,EGBB,12
KCLE,KBWI,21
K2W6,"6MD2",1
KMKE,II43,1
EDXL,EDWQ,1
EPRJ,PANC,2
KEWR,CYYC,7
KSTL,KJVY,1
KCRP,"1XA2",3
"9OH4","05OI",1
LFPB,LFKB,1
KIAD,KAGC,2
KCMA,KRAL,5
EDDP,EBMB,6
TE26,XS25,1
KNBJ,KPNS,8
KLZU,KSBM,1
KLCI,KHPN,5
IL18,KCPS,2
EDDM,LIMC,16
KHYA,KPVD,1
KEYQ,"6TE5",1
KPTK,KY31,8
LFMT,LFQQ,1
EGHA,EGHA,23
KFHR,KFHR,4
EDLA,EHAM,1
YWLM,YNBR,3
"82IS","82IS",2
"96WA",KPAE,4
KHPN,"5OK9",1
KPHN,KPTK,2
LOWS,LEPA,13
KMSN,KOMA,3
LTFJ,OMSJ,10
KLZU,KDTS,2
KJAN,KHEF,1
KSTL,KIAD,15
EDDP,LEBL,12
KCQX,KCQX,39
YSSY,KSFO,14
KIAD,"1NC3",1
LIPH,LIPH,32
KMVY,KDXR,4
KBUU,K3CK,1
KSSI,KSSI,14
KGRR,KORD,27
KCAK,SC50,1
LFOZ,LFOJ,2
KSEA,KMDW,20
LFPO,KEWR,14
KGKY,KMBO,1
CYUL,ESSA,3
KBWI,KJAN,6
VNKT,LIPZ,1
KSFO,LTFM,9
KMYV,KLVK,1
KCAK,KAKR,1
KHQZ,KHQZ,103
KATL,KJAN,53
"23NE",KOMA,2
KLOT,KORD,1
LFHC,LFKJ,6
EHTE,EHTE,107
EGLL,EDDF,112
KMSY,SC95,1
KBED,KRUT,3
KRDU,KRDU,189
EGBJ,EGNE,1
